word,price
internet,1300.0
mezzanine,1300.0
dossier,2685.0
44m²,2500.0
lave,1300.0
ouverte,1300.0
superficie,2500.0
séparés,1300.0
haxo,2500.0
granit,1300.0
chauffage,2489.0
pré,2500.0
salle,2194.5
sud,2293.0
entrée,1796.5
séchant,1300.0
spacieuse,1300.0
chambre,1300.0
douche,1900.0
immédiate,2685.0
16m²,2685.0
av,2293.0
versailles,2685.0
mains,1300.0
coin,2293.0
cuisine,2031.0
idéal,2685.0
ascenseur,2031.0
cabine,1300.0
beau,2685.0
frais,2685.0
parquet,2396.5
situé,2500.0
colocation,2685.0
neuf,2293.0
sein,2685.0
marchés,1300.0
électroménager,1300.0
mobilier,1300.0
logement,2685.0
sécurisés,2685.0
disponibilité,2685.0
velux,1300.0
location,1300.0
grande,2293.0
indépendante,2500.0
appartement,2492.6666666666665
décoration,1300.0
canapé,1300.0
eau,2489.0
lumineux,2500.0
ter,2685.0
dégagement,2293.0
chaude,2489.0
compris,2489.0
famille,2685.0
comprend,1300.0
chambres,2685.0
lit,1300.0
métro,2500.0
bains,2489.0
ni,2685.0
portes,2685.0
haussmannien,1300.0
complet,1300.0
très,1300.0
électrique,1300.0
exp,2293.0
ménage,1300.0
st,2500.0
sép,2293.0
moderne,1300.0
ancien,2500.0
agence,2685.0
étage,2031.0
accès,2685.0
bon,2293.0
propriétaire,2685.0
stg,2293.0
bayen,1300.0
4ème,2500.0
digicodes,1300.0
qualité,1300.0
collectifs,2293.0
meublée,1300.0
ternes,1300.0
balcon,2685.0
bar,1300.0
italienne,1300.0
double,1300.0
m²,2223.3333333333335
calme,2293.0
séjour,2194.5
environ,1300.0
direct,2685.0
refait,2293.0
les,2489.0
wc,2092.6666666666665
gervais,2500.0
composé,2500.0
commerçant,1300.0
bel,1992.5
sèche,1300.0
serviettes,1300.0
station,2685.0
serres,2685.0
maine,2293.0
pièces,2161.6666666666665
équipée,2293.0
sixième,1300.0
charges,2489.0
institutionnel,2685.0
placard,2293.0
gardien,1300.0
étoile,1300.0
linge,1300.0
inclus,1300.0
olivier,2685.0
aucun,2685.0
quartier,1300.0
dressing,1300.0
aménagé,1300.0
rue,2592.5
confortable,1300.0
4e,2293.0
poncelet,1300.0
immeuble,2194.5
